zid,name,email@email.com,previous_experience,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
z1000000,Jake Renzella6,email@email.com,"COMP2521 (21T2, 21T3) | COMP4128 (21T3) | COMP1511 (22T1) ",3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0,0,3.1,3.1,3.1,0,0,0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0,3.1,3.1,3.1,3.1,3.1,3.1
z1000001,Jake Renzella10,email@email.com,"COMP1531 (21T1) | COMP1511 (21T2, 21T3, 22T1) ",1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.1,1.1,1.1,1.1,1.1,2.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,1.1,1.1,1.1,2.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
z1000002,Jake Renzella11,email@email.com,"COMP1531 (20T1, 20T3) | COMP2041 (20T2, 21T1) | COMP2511 (21T2, 21T3) | COMP1511 (22T1)",3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3.1,3.1,3.1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1.1,2.1,2.1,2.1,2.1,1.1,1.1,1.1,1.1,1.1,2.1,2.1,2.1,0,0,0,0,2.1,3.1,3.1,3.1,3.1,0
z1000003,Jake Renzella14,email@email.com,"COMP1521 (20T3, 21T3) | COMP1511 (21T1, 21T2, 22T1) ",0,1,2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,0,0,0,1.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,0,1,2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,0,0,0,1.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,0,1,2,3.1,3.1,3.1,0,2.1,3.1,3.1,2.1,2.1,2.1
z1000004,Jake Renzella15,email@email.com,COMP1511 (22T1) ,0,2.1,3.1,3.1,1.1,1.1,3.1,3.1,3.1,3.1,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,0,0,2.1,3.1,3.1,1.1,1.1,3.1,3.1,3.1,3.1,2.1,2.1,0,0,3,3,3,0,1,3,3,3,3,2,2,0,0,0,0,0,0,0,3.1,3.1,3.1,3.1,2.1,2.1,0
z1000005,Jake Renzella16,email@email.com,COMP1511 (22T1) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
z1000006,Jake Renzella17,email@email.com,COMP1511 (22T1) ,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,0,0,0,0,0,3.1,3.1,3.1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,2,0
z1000007,Jake Renzella18,email@email.com,COMP1511 (22T1) ,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,3.1,3.1,3.1,0,0,0,0,0,2.1,2.1,2.1,0,0,0,0,0,3.1,3.1,3.1,2.1,2.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
z1000008,Jake Renzella19,email@email.com,COMP1511 (22T1) ,0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0,0,0,0,0,0,0,0,3.1,3.1,3.1,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.1,2.1,0,3.1,3.1,3.1,3.1,3.1,0,0,0,0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0,0,0
z1000009,Jake Renzella20,email@email.com,"COMP1511 (21T3, 22T1) ",3.1,3.1,3.1,3.1,3.1,3.1,0,0,3.1,3.1,3.1,3.1,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.1,1.1,1.1,0,2.1,2.1,2.1,2.1,0,0,2.1,3.1,3.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,2.1,2.1,3.1,3.1,3.1,3.1,2.1,2.1,2.1,2.1,0,0,0,3.1,3.1,3.1,3.1,0,0,0,0,0,0
